City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Pevek,69.7008,170.3133,19.67,92,100,2.82,RU,1634141246
Hobart,-42.8794,147.3294,53.26,82,90,3.44,AU,1634141054
New Norfolk,-42.7826,147.0587,52.92,70,100,2.44,AU,1634141141
Hambantota,6.1241,81.1185,80.94,83,0,8.05,LK,1634141269
Bra,44.703,7.8556,66.15,51,51,6.67,IT,1634141270
Hong Kong,22.2855,114.1577,82.38,90,69,11.01,HK,1634141230
Busselton,-33.65,115.3333,49.08,84,0,11.41,AU,1634141270
Jamestown,42.097,-79.2353,69.12,76,90,10.0,US,1634141166
Cape Town,-33.9258,18.4232,70.12,58,100,12.5,ZA,1634141142
Sukumo,32.9333,132.7333,71.35,94,14,2.84,JP,1634141270
Rikitea,-23.1203,-134.9692,74.07,76,98,7.05,PF,1634141138
Dikson,73.5069,80.5464,27.23,90,100,27.76,RU,1634140966
Torbay,47.6666,-52.7314,47.57,93,75,16.11,CA,1634141133
Atakpamé,7.5333,1.1333,88.2,58,47,4.65,TG,1634141271
Pāli,25.7667,73.3333,85.05,32,0,1.92,IN,1634141271
Verāval,20.9,70.3667,84.92,71,1,2.06,IN,1634141272
Mahébourg,-20.4081,57.7,74.25,78,36,7.61,MU,1634141272
Ushuaia,-54.8,-68.3,51.46,50,40,13.8,AR,1634141272
Punta Arenas,-53.15,-70.9167,50.11,50,40,28.77,CL,1634141140
Aden,12.7794,45.0367,86.2,64,49,11.14,YE,1634140985
Tiksi,71.6872,128.8694,19.13,91,96,12.64,RU,1634141273
Avarua,-21.2078,-159.775,75.25,73,20,10.36,CK,1634141149
Wageningen,51.97,5.6667,56.84,82,90,4.61,NL,1634141273
Yumen,40.2833,97.2,44.96,35,1,12.62,CN,1634141274
Nanortalik,60.1432,-45.2371,43.66,65,46,3.65,GL,1634141247
Ponta do Sol,32.6667,-17.1,75.83,73,63,1.86,PT,1634141274
Cap-aux-Meules,47.3821,-61.8597,54.61,75,100,1.61,CA,1634141274
Aripuanã,-9.1667,-60.6333,98.91,34,33,4.45,BR,1634141275
Nueve de Julio,-35.4444,-60.8831,62.71,74,100,4.0,AR,1634141275
Saskylakh,71.9167,114.0833,5.79,98,93,5.32,RU,1634141275
Albany,42.6001,-73.9662,68.74,83,1,1.16,US,1634141029
Fuerte Olimpo,-21.0415,-57.8738,102.76,30,39,13.87,PY,1634141276
Poum,-20.2333,164.0167,73.13,82,57,14.03,NC,1634141260
Kapaa,22.0752,-159.319,78.78,81,88,1.01,US,1634141276
La Palma,33.8464,-118.0467,67.82,44,1,1.99,US,1634141277
